,E-m,P-m,A-m,E-f,P-f,A-f,
,Evaluation,Potency,Activity,Evaluation,Potency,Activity,< Dimension
,Male,Male,Male,Female,Female,Female,< Participant gender
mastery,2.382051282,2.366666667,0.758974359,2.430952381,2.795238095,0.407142857,
materialistic,-1.364102564,-0.733333333,1.302564103,-1.735555556,-0.557777778,1.604444444,
mature love,2.407692308,2.11025641,-0.876923077,2.846341463,2.819512195,-0.836585366,
maturity,1.735294118,1.294117647,-1.008823529,2.3,2.318181818,-0.997727273,
meaning,1.777777778,1.555555556,-0.436111111,1.619512195,1.326829268,-0.707317073,
meticulousness,0.907142857,0.671428571,-0.628571429,1.438636364,0.922727273,-0.490909091,
mindfulness,2.082857143,1.16,-1.108571429,2.15952381,1.49047619,-1.392857143,
mobility,2.135,1.705,1.97,2.374418605,2.153488372,1.413953488,
modesty,1.66,0.122857143,-1.288571429,1.640909091,0.943181818,-1.425,
naturalness,1.843589744,0.9,-0.394871795,2.441860465,1.481395349,-0.576744186,
nobility,1.693023256,2.095348837,-0.106976744,1.628571429,2.152380952,-0.521428571,
obedience,0.358536585,-1.202439024,-1.22195122,1.190909091,-0.031818182,-0.840909091,
obedient ,0.414705882,-0.355882353,-0.994117647,0.925,-0.256818182,-1.022727273,
open-mindedness,2.57,1.58,-0.295,2.7,1.943181818,0.115909091,
openness,1.62195122,0.76097561,-0.031707317,1.946511628,1.1,0.31627907,
opportunities ,2.323529412,1.658823529,0.364705882,2.625581395,1.913953488,0.911627907,
optimism,2.529268293,1.882926829,0.651219512,2.765116279,2.076744186,0.711627907,
order,1.48,1.391428571,-0.448571429,2,1.535714286,-0.84047619,
organization,2.255813953,1.544186047,0.160465116,2.216666667,2.15,-0.142857143,
originality,2.313636364,1.538636364,0.631818182,2.284782609,1.813043478,0.856521739,
passion,2.197560976,2.163414634,1.697560976,2.4,2.118604651,1.420930233,
patience,2.854285714,1.645714286,-2.525714286,2.675,1.575,-2.152272727,
peace,2.951219512,1.573170732,-1.607317073,3.114285714,1.628571429,-2.183333333,
perceptiveness,2.133333333,1.542857143,-0.180952381,2.293181818,1.931818182,-0.438636364,
perfection,1.695238095,1.628571429,0.121428571,1.841860465,1.506976744,0.013953488,
performance,1.633333333,1.661904762,1.55952381,1.39047619,1.580952381,1.435714286,
perseverance,2.7675,2.7675,0.8475,2.768292683,2.575609756,0.390243902,
persistence,1.995348837,2.379069767,1.38372093,2.097619048,2.330952381,1,
philanthropy,2.888571429,2.24,0.188571429,2.78,2.065,0.405,
playfulness,1.885714286,1.06,1.928571429,2.125,1.025,1.840909091,
pleasantness,2.1675,0.655,-0.7725,2.878571429,1.066666667,-0.802380952,
pleasure,2.651219512,1.37804878,1.017073171,2.723255814,1.511627907,0.379069767,
poise,1.885714286,1.568571429,-0.768571429,2.17804878,1.585365854,-1.363414634,
politeness,2.646511628,0.872093023,-0.9,2.863414634,0.895121951,-1.06097561,
popularity,1.351282051,1.448717949,1.464102564,0.886046512,1.374418605,1.723255814,
potency,1.368421053,2.352631579,0.826315789,0.87804878,2.236585366,0.865853659,
power,1.637142857,3.06,1.308571429,1.125,3.190909091,1.204545455,
