term,E,P,A,E2,P2,A2
has_been,-1.43,-2.22,-1.36,-1.43,-2.22,-1.36
heel,-0.24,-0.05,0.18,-0.24,-0.05,0.18
helper,2.79,1.14,0.87,2.79,1.14,0.87
henchman,-1.95,0.66,0.77,-1.95,0.66,0.77
hermit,-0.08,-1.5,-2.48,-0.08,-1.5,-2.48
hero,3.2,2.97,2.33,3.2,2.97,2.33
heterosexual,1.07,0.63,0.27,1.07,0.63,0.27
hick,-0.53,-0.94,-0.25,-0.53,-0.94,-0.25
hillbilly,-0.45,-0.95,0.14,-0.45,-0.95,0.14
hippie,0.71,-0.76,-0.75,0.71,-0.76,-0.75
hipster,-0.16,-0.68,0.56,-0.16,-0.68,0.56
homeless_person,-0.5,-2.56,-1.3,-0.5,-2.56,-1.3
homosexual,0.66,0.07,0.51,0.66,0.07,0.51
hooker,-1.3,-1.16,1.82,-1.3,-1.16,1.82
host,1.72,1.49,1.55,1.72,1.49,1.55
hostage,-0.74,-3.04,-1.92,-0.74,-3.04,-1.92
hostess,1.67,0.28,1.41,1.67,0.28,1.41
hothead,-2.29,-0.13,2.59,-2.29,-0.13,2.59
hotshot,-0.69,1.01,2.28,-0.69,1.01,2.28
housebreaker,-2.65,0.58,1.09,-2.65,0.58,1.09
houseguest,1.29,-0.3,0.12,1.29,-0.3,0.12
housekeeper,1.99,-0.59,1.2,1.99,-0.59,1.2
housewife,1.98,0.25,0.89,1.98,0.25,0.89
humanist,1.91,0.68,0.42,1.91,0.68,0.42
hunk,0.94,1.55,0.58,0.94,1.55,0.58
husband,1.77,1.16,0.68,1.77,1.16,0.68
hypochondriac,-1.52,-1.6,0.95,-1.52,-1.6,0.95
hypocrite,-2.87,-1.23,1.02,-2.87,-1.23,1.02
idiot,-1.92,-1.78,0.21,-1.92,-1.78,0.21
illegitimate_child,-0.42,-1.1,0.29,-0.42,-1.1,0.29
imbecile,-2.14,-2.12,-0.7,-2.14,-2.12,-0.7
immigrant,0.67,-1,0.23,0.67,-1,0.23
immigration_officer,0.98,1.89,1.06,0.98,1.89,1.06
in_law,0.74,0.86,0.73,0.74,0.86,0.73
infant,2.51,-2.75,1.11,2.51,-2.75,1.11
informant,0.24,0.89,0.23,0.24,0.89,0.23
informer,0.1,1.02,0.17,0.1,1.02,0.17
inmate,-2.14,-1.65,-0.13,-2.14,-1.65,-0.13
innocent,2.4,-1.02,-0.85,2.4,-1.02,-0.85
insider,0.47,1.56,0.01,0.47,1.56,0.01
inspector,1.41,1.76,0.56,1.41,1.76,0.56
instructor,2.16,1.75,1.04,2.16,1.75,1.04
insurance_agent,0.46,0.73,0.82,0.46,0.73,0.82
insurance_claims_investigator,0.72,1.44,0.21,0.72,1.44,0.21
intellectual,2.57,2,-0.05,2.57,2,-0.05
intern,1.41,-1.38,0.89,1.41,-1.38,0.89
internet_troll,-2.55,-1.42,1.04,-2.55,-1.42,1.04
interpreter,1.97,1.42,1.49,1.97,1.42,1.49
interrogator,-0.28,2.24,1.6,-0.28,2.24,1.6
interviewer,1.03,1.63,1.11,1.03,1.63,1.11
intimate,1.81,0.84,-0.44,1.81,0.84,-0.44
introvert,0.51,-0.93,-2.4,0.51,-0.93,-2.4
